id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
185477,Salzburger Str. 56,48.811516,9.149708,Stuttgart,,70469,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185476,Jeanette-Wolff-Str. 17,52.40218,13.509497,Berlin,,12355,,2,2,11.0,Slow (<22 kW),,2021,3,False,False
185475,Jungmannufer 999,54.477343,9.853928,Eckernförde,,24340,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185474,Gartenstr. 999,54.470548,9.835585,Eckernförde,,24340,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185473,Unterösch 1,47.711899,9.265617,Daisendorf,,88718,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185472,Kluiser Dreieck 1,54.46629,13.29347,Gingst,,18569,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185471,Preußerstr. 1,54.46579,9.839374,Eckernförde,,24340,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185470,Preußerstr. 999,54.463754,9.840495,Eckernförde,,24340,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185469,Antwerpener Str. 6,51.076979,6.306218,Erkelenz,,41812,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185468,Elbufer 5,50.956385,14.032453,Stadt Wehlen,,01829,,4,4,22.0,Medium (22-49 kW),,2021,3,False,False
185467,Waldnaabtal Ost BAB93 ,49.83727,12.173281,Windischeschenbach,,92670,,3,3,50.0,Fast (50-99 kW),,2021,1,False,False
185466,Steckfeldstr. 31,48.7150993,9.2019501,Stuttgart,,70599,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185464,Langgasse,49.365533,8.307209,Böhl-Iggelheim,,67459,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185463,Garnkorbparkplatz 3 - 5,54.23611,10.282585,Preetz,,24211,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185462,Am Stadtgut,52.972334,10.543573,Uelzen,,29525,,4,4,150.0,Ultra-Fast (>=100 kW),,2021,0,False,False
185461,Am Marktpl. 4,52.6348159,7.0597451,Twist,,49767,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185460,Siegener Str. 5,51.055102,8.787851,Frankenberg,,35066,,4,4,22.0,Medium (22-49 kW),,2021,4,False,False
185459,Am Kirchplatz 8,52.323902,7.348745,Salzbergen,,48499,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185458,Westring 212c,51.552373,7.295071,Castrop-Rauxel,,44579,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185457,Wassenbergstraße 1z,51.83598,6.24835,Emmerich am Rhein,,46448,,4,4,22.0,Medium (22-49 kW),,2021,2,False,False
185456,Vierte Straße 2,54.442655,13.570727,Binz OT Prora,,18609,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185455,Am Freesenbruch 1,54.4411601482206,12.660584449768,Zingst,,18374,,4,4,22.0,Medium (22-49 kW),,2021,3,False,False
185454,Karlsruher Str. 2,48.86083,8.458695,Marxzell,,76359,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185453,Eichwaldstraße 10,48.008998,10.591253,Bad Wörishofen,,86825,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185452,Waldseestraße 24,48.767366,8.228431,Baden-Baden,,76530,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185451,Alte Heidkate 20,54.434469,10.3281,Wisch,,24217,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185450,Bannony 1,54.433931,9.131484,Rantrum,,25873,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185449,Hauptstrasse 50,54.433489,9.206408,Winnert,,25887,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185448,Wieselburger Platz,51.8558861,9.9608611,Einbeck,,37574,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185447,Nordenhamer Straße 121,53.058861,8.648584,Delmenhorst,,27751,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185446,Industriestraße 11,49.559215,8.177413,Grünstadt,,67269,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185445,Speßhardter Straße 1,48.724168,8.700222,Calw,,75365,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185444,Bahnhofsallee 38,52.15547537,9.956343404,Hildesheim,,31134,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185443,Käptn's Gang 1,54.412768,10.414927,Schönberg,,24217,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185442,Meyenburger Straße 1,53.151804,12.177141,Pritzwalk,,16928,,4,4,50.0,Fast (50-99 kW),,2021,3,False,False
185441,Emmy-Noether- Str. 2,53.959332,9.495957,Itzehoe,,25524,,3,3,50.0,Fast (50-99 kW),,2021,0,False,False
185440,Hafenplatz 1,54.4037,10.2195,Laboe,,24235,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185439,Bergedorfer Straße 4,53.032397381339,8.545002937317,Ganderkesee,,27777,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185438,Königshofer Straße 17,49.494575,8.55032,Mannheim,,68259,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185437,Kirchstraße 1,52.845290289151,7.780739665031,Lindern,,49699,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185436,Durlacher Str. 35,52.481311,13.329605,Berlin,,10715,,2,2,11.0,Slow (<22 kW),,2021,3,False,False
185435,In den betten 5,49.648579,8.778451,Fürth,,64658,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185434,Holländische Reihe 27,53.54769,9.92881,Hamburg,,22765,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185433,Rosa-Bavarese-Str. 1,48.147107,11.502535,München,,80639,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185432,Schulstraße Flur Nr. 231 21,50.268391,10.369929,Großbardorf,,97633,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185431,Jengerstraße 4,47.91829,7.7457,Ehrenkirchen,,79238,,3,3,22.0,Medium (22-49 kW),,2021,5,False,False
185430,Frankfurter Straße 33,50.085106,8.471029,Kriftel,,65830,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185429,Teichstr. 12,54.372918,11.085465,Großenbrode,,23775,,1,1,22.0,Medium (22-49 kW),,2021,0,False,False
185428,Kanalstraße 39,54.369931,10.142282,Kiel,,24159,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185427,Stuttgarter Str. 41,48.834432,10.094287,Aalen,,73430,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185426,Mülheimer Str. 67-69,50.983919,7.101405,Bergisch Gladbach,,51469,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185425,Cantianstr. 1,52.543267,13.411729,Berlin,,10437,,2,2,11.0,Slow (<22 kW),,2021,3,False,False
185424,Breite Straße 3,54.361702,9.243804,Stapel,,25879,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185423,Schmöllnsche Straße 31,50.983494,12.431972,Altenburg,,04600,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185422,Frankfurter Str. 82,51.94885,13.91731,Lübben,,15907,,2,2,50.0,Fast (50-99 kW),,2021,3,False,False
185421,Birklehof 10,47.91003,8.10074,Hinterzarten,,79874,,3,3,22.0,Medium (22-49 kW),,2021,5,False,False
185420,Raststätte Frankenhöhe Süd,49.240933,10.355909,Aurach,,91589,,3,3,50.0,Fast (50-99 kW),,2021,1,False,False
